Sample,Time(S),CH1(V),CH2(V)
533,-0.001067,-0.0639099,-2.25282
534,-0.001066,-0.0639099,-2.31673
535,-0.001065,-0.0639099,-2.33271
536,-0.001064,-0.0639099,-2.4126
537,-0.001063,-0.0639099,-2.44455
538,-0.001062,-0.0639099,-2.49249
539,-0.001061,-0.0639099,-2.50846
540,-0.00106,-0.0639099,-2.57237
541,-0.001059,-0.0639099,-2.62031
542,-0.001058,-0.0639099,-2.65226
543,-0.001057,-0.0479324,-2.70019
544,-0.001056,-0.0639099,-2.73215
545,-0.001055,-0.0798874,-2.74813
546,-0.001054,-0.0639099,-2.81204
547,-0.001053,-0.0639099,-2.85997
548,-0.001052,-0.0639099,-2.89192
549,-0.001051,-0.0639099,-2.92388
550,-0.00105,-0.0798874,-2.95583
551,-0.001049,-0.0479324,-3.00376
552,-0.001048,-0.0639099,-3.03572
553,-0.001047,-0.0639099,-3.08365
554,-0.001046,-0.0639099,-3.09963
555,-0.001045,-0.0639099,-3.16354
556,-0.001044,-0.0639099,-3.19549
557,-0.001043,-0.0639099,-3.22745
558,-0.001042,-0.0639099,-3.2594
559,-0.001041,-0.0639099,-3.29136
560,-0.00104,-0.0639099,-3.33929
561,-0.001039,-0.0639099,-3.37125
562,-0.001038,-0.0479324,-3.4032
563,-0.001037,-0.0639099,-3.43516
564,-0.001036,-0.0639099,-3.46711
565,-0.001035,-0.0479324,-3.49907
566,-0.001034,-0.0639099,-3.53102
567,-0.001033,-0.0639099,-3.57895
568,-0.001032,-0.0639099,-3.61091
569,-0.001031,-0.0639099,-3.62689
570,-0.00103,-0.0639099,-3.67482
571,-0.001029,-0.0639099,-3.6908
572,-0.001028,-0.0639099,-3.72275
573,-0.001027,-0.0479324,-3.75471
574,-0.001026,-0.0639099,-3.80264
575,-0.001025,-0.0639099,-3.81862
576,-0.001024,-0.0639099,-3.85057
577,-0.001023,-0.0639099,-3.86655
578,-0.001022,-0.0639099,-3.8985
579,-0.001021,-0.0639099,-3.93046
580,-0.00102,-0.0479324,-3.94644
581,-0.001019,-0.0798874,-3.97839
582,-0.001018,-0.0639099,-4.0423
583,-0.001017,-0.0639099,-4.0423
584,-0.001016,-0.0639099,-4.07426
585,-0.001015,-0.0639099,-4.10621
586,-0.001014,-0.0639099,-4.10621
587,-0.001013,-0.0639099,-4.15414
588,-0.001012,-0.0639099,-4.15414
589,-0.001011,-0.0639099,-4.1861
590,-0.00101,-0.0639099,-4.21805
591,-0.001009,-0.0639099,-4.21805
592,-0.001008,-0.0479324,-4.26599
593,-0.001007,-0.0639099,-4.28196
594,-0.001006,-0.0639099,-4.31392
595,-0.001005,-0.0639099,-4.31392
596,-0.001004,-0.0639099,-4.34587
597,-0.001003,-0.0639099,-4.34587
598,-0.001002,-0.0639099,-4.36185
599,-0.001001,-0.0479324,-4.36185
600,-0.001,-0.0798874,-4.39381
601,-0.000999,-0.0479324,-4.40978
602,-0.000998,-0.0479324,-4.40978
603,-0.000997,-0.0798874,-4.40978
604,-0.000996,-0.0639099,-4.42576
605,-0.000995,-0.0639099,-4.42576
606,-0.000994,-0.0479324,-4.42576
607,-0.000993,-0.0639099,-4.39381
608,-0.000992,-0.0639099,-4.40978
609,-0.000991,-0.0639099,-4.40978
610,-0.00099,-0.0639099,-4.42576
611,-0.000989,-0.0639099,-4.40978
612,-0.000988,-0.0639099,-4.44174
613,-0.000987,-0.0639099,-4.44174
614,-0.000986,-0.0798874,-4.44174
615,-0.000985,-0.0479324,-4.44174
616,-0.000984,-0.0798874,-4.44174
617,-0.000983,-0.0798874,-4.44174
618,-0.000982,-0.0798874,-4.44174
619,-0.000981,-0.0798874,-4.44174
620,-0.00098,-0.0798874,-4.44174
621,-0.000979,-0.0798874,-4.44174
622,-0.000978,-0.0798874,-4.44174
623,-0.000977,-0.0798874,-4.44174
624,-0.000976,-0.0798874,-4.44174
625,-0.000975,-0.0798874,-4.44174
626,-0.000974,-0.0798874,-4.44174
627,-0.000973,-0.0798874,-4.44174
628,-0.000972,-0.0798874,-4.44174
629,-0.000971,-0.0798874,-4.44174
630,-0.00097,-0.0798874,-4.44174
631,-0.000969,-0.0798874,-4.44174
632,-0.000968,-0.0798874,-4.44174
633,-0.000967,-0.0798874,-4.44174
634,-0.000966,-0.0798874,-4.44174
635,-0.000965,-0.0798874,-4.44174
636,-0.000964,-0.0798874,-4.44174
637,-0.000963,-0.0798874,-4.42576
638,-0.000962,-0.0798874,-4.42576
639,-0.000961,-0.0798874,-4.44174
640,-0.00096,-0.0798874,-4.44174
641,-0.000959,-0.0798874,-4.44174
642,-0.000958,-0.0798874,-4.44174
643,-0.000957,-0.0798874,-4.44174
644,-0.000956,-0.0798874,-4.44174
645,-0.000955,-0.0798874,-4.44174
646,-0.000954,-0.0798874,-4.44174
647,-0.000953,-0.0798874,-4.44174
648,-0.000952,-0.0798874,-4.42576
649,-0.000951,-0.0798874,-4.45772
650,-0.00095,-0.0798874,-4.42576
651,-0.000949,-0.0798874,-4.45772
652,-0.000948,-0.0798874,-4.44174
653,-0.000947,-0.0798874,-4.44174
654,-0.000946,-0.0798874,-4.44174
655,-0.000945,-0.0798874,-4.44174
656,-0.000944,-0.0798874,-4.42576
657,-0.000943,-0.0798874,-4.45772
658,-0.000942,-0.0798874,-4.42576
659,-0.000941,-0.0798874,-4.45772
660,-0.00094,-0.0798874,-4.45772
661,-0.000939,-0.0798874,-4.45772
662,-0.000938,-0.0798874,-4.45772
663,-0.000937,-0.0798874,-4.45772
664,-0.000936,-0.0798874,-4.45772
665,-0.000935,-0.0798874,-4.45772
666,-0.000934,-0.0798874,-4.42576
667,-0.000933,-0.0798874,-4.39381
668,-0.000932,-0.0798874,-4.36185
669,-0.000931,-0.0798874,-4.3299
670,-0.00093,-0.0798874,-4.29794
671,-0.000929,-0.0798874,-4.29794
